strategy,code,buy_date,sell_date,buy_bar_ok,buy_touch,expected_buy_from_raw,recorded_buy,buy_price_ok,sell_bar_ok,raw_sell_open,recorded_sell_open,sell_open_ok,sell_price_market_ok,match
R0.5,2344,20231116,20240220,True,True,28.45,28.45,True,True,27.85,27.85,True,True,True
R7,2404,20240311,20240325,True,True,381.5,381.5,True,True,385.0,385.0,True,True,True
R7,5386,20240311,20240325,True,True,68.5,68.5,True,True,85.0,85.0,True,True,True
R7,3293,20240311,20240325,True,True,1065.0,1065.0,True,True,1040.0,1040.0,True,True,True
R7,1616,20240327,20240417,True,True,22.25,22.25,True,True,21.25,21.25,True,True,True
R7,4127,20240328,20240417,True,True,31.6,31.4,False,True,37.6,37.6,True,True,False
R7,2359,20240328,20240417,True,True,71.3,71.3,True,True,94.8,94.8,True,True,True
R0.5,6179,20240201,20240506,True,True,34.55,34.55,True,True,31.55,31.55,True,True,True
R7,6552,20240502,20240509,True,True,48.5,48.5,True,True,49.5,49.5,True,True,True
R7,5508,20240503,20240509,True,True,220.5,220.5,True,True,216.0,216.0,True,True,True
R7,3466,20240507,20240514,True,True,54.1,54.1,True,True,54.7,54.7,True,True,True
R7,2615,20240514,20240515,True,True,68.6,68.6,True,True,69.0,69.0,True,True,True
R0.5,1815,20240220,20240520,True,True,17.1,17.1,True,True,19.9,19.9,True,True,True
R7,4562,20240514,20240607,True,True,28.75,28.75,True,True,39.6,39.6,True,True,True
R7,5392,20240517,20240607,True,True,37.6,37.6,True,True,40.35,40.35,True,True,True
R7,4549,20240517,20240607,True,True,131.5,131.5,True,True,196.0,196.0,True,True,True
R7,2537,20240612,20240617,True,True,24.25,24.25,True,True,24.5,24.5,True,True,True
R7,8085,20240620,20240621,True,True,92.2,92.2,True,True,89.5,89.5,True,True,True
R7,6877,20240621,20240625,True,True,55.5,55.5,True,True,54.0,54.0,True,True,True
R7,5484,20240617,20240626,True,True,59.2,59.2,True,True,70.8,70.8,True,True,True
R7,2438,20240625,20240717,True,True,55.2,55.2,True,True,65.5,65.5,True,True,True
R7,6895,20240626,20240717,True,True,200.5,200.5,True,True,262.0,262.0,True,True,True
R7,1540,20240719,20240729,True,True,34.2,34.2,True,True,35.0,35.0,True,True,True
R7,6492,20240719,20240729,True,True,60.9,60.9,True,True,56.8,56.8,True,True,True
R7,2477,20240719,20240729,True,True,29.65,29.65,True,True,28.6,28.6,True,True,True
R0.5,2884,20240521,20240730,True,True,29.25,29.25,True,True,26.7,26.7,True,True,True
R0.5,2880,20240508,20240805,True,True,25.4,25.4,True,True,27.35,27.35,True,True,True
R7,4907,20240731,20240805,True,True,115.0,115.0,True,True,96.8,96.8,True,True,True
R7,4513,20240802,20240805,True,True,69.0,69.0,True,True,69.0,69.0,True,True,True
R7,2524,20240802,20240805,True,True,111.0,111.0,True,True,109.0,109.0,True,True,True
R7,8937,20240819,20240905,True,True,46.05,46.05,True,True,67.7,67.7,True,True,True
R7,2477,20240918,20240925,True,True,34.5,34.5,True,True,30.45,30.45,True,True,True
R0.5,2605,20240930,20241011,True,True,29.95,29.95,True,True,27.2,27.2,True,True,True
R7,4527,20241001,20241016,True,True,59.3,59.3,True,True,54.0,54.0,True,True,True
R7,6156,20241016,20241017,True,True,37.0,37.0,True,True,38.2,38.2,True,True,True
R7,4956,20241016,20241017,True,True,36.95,36.95,True,True,41.95,41.95,True,True,True
R7,3710,20241017,20241018,True,True,15.7,15.7,True,True,15.95,15.95,True,True,True
R7,1595,20241017,20241024,True,True,60.1,60.1,True,True,74.6,74.6,True,True,True
R0.5,3354,20241022,20241025,True,True,32.9,32.9,True,True,30.55,30.55,True,True,True
R0.5,1402,20240927,20241128,True,True,38.0,38.0,True,True,35.1,35.1,True,True,True
R7,6558,20241203,20241210,True,True,40.2,40.2,True,True,39.95,39.95,True,True,True
R7,3211,20241203,20241210,True,True,201.5,201.5,True,True,203.5,203.5,True,True,True
R7,3019,20241224,20241227,True,True,165.0,165.0,True,True,181.0,181.0,True,True,True
R7,3379,20241224,20241227,True,True,39.65,39.65,True,True,38.4,38.4,True,True,True
R0.5,2885,20241021,20250115,True,True,33.3,33.3,True,True,34.45,34.45,True,True,True
R0.5,9904,20241029,20250203,True,True,38.1,38.1,True,True,36.5,36.5,True,True,True
R7,3081,20250203,20250204,True,True,479.5,477.0,False,True,485.0,485.0,True,True,False
R7,6613,20250203,20250204,True,True,249.5,249.5,True,True,252.5,252.5,True,True,True
R7,6140,20250206,20250210,True,True,32.3,32.3,True,True,37.5,37.5,True,True,True
R7,6148,20250210,20250214,True,True,39.15,39.15,True,True,39.85,39.85,True,True,True
R7,8096,20250210,20250214,True,True,52.9,52.9,True,True,66.0,66.0,True,True,True
R7,4722,20250214,20250217,True,True,62.3,62.3,True,True,61.5,61.5,True,True,True
R7,2034,20250217,20250218,True,True,24.5,24.5,True,True,25.0,25.0,True,True,True
