date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20230818,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230821,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230822,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230823,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230824,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230825,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230828,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230829,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230830,1020808.9208750008,0,0.0,1020808.9208750008,1276947.5497500002,-0.20058664815571015,0
20230831,821705.6023750008,0,199000.0,1020705.6023750008,1276947.5497500002,-0.2006675586833353,2
20230901,988209.6437500007,0,26740.000000000004,1014949.6437500007,1276947.5497500002,-0.20517515073449433,1
20230904,988209.6437500007,0,26809.999999999996,1015019.6437500007,1276947.5497500002,-0.20512033250800277,1
20230905,860124.0375000008,0,155000.0,1015124.0375000008,1276947.5497500002,-0.2050385799332628,1
20230906,860124.0375000008,0,150000.0,1010124.0375000008,1276947.5497500002,-0.20895416753980067,1
20230907,860124.0375000008,0,146600.0,1006724.0375000008,1276947.5497500002,-0.21161676711224642,1
20230908,838731.2265000008,0,164960.0,1003691.2265000008,1276947.5497500002,-0.2139918145451607,2
20230911,838731.2265000008,0,158560.0,997291.2265000008,1276947.5497500002,-0.2190037666815292,2
20230912,838731.2265000008,0,163720.0,1002451.2265000008,1276947.5497500002,-0.21496288027158206,2
20230913,693771.9015000007,0,318800.0,1012571.9015000007,1276947.5497500002,-0.2070372023516226,2
20230914,693771.9015000007,0,327600.0,1021371.9015000007,1276947.5497500002,-0.200145768164116,2
20230915,882026.0490000007,0,140800.0,1022826.0490000007,1276947.5497500002,-0.1990069997783004,2
20230918,882026.0490000007,0,144700.0,1026726.0490000007,1276947.5497500002,-0.19595284144520086,2
