date,nav,cash,market_value,positions,peak,drawdown
20230613,2991062.418561501,2479712.418561501,511350.00000000006,1,3185244.605811501,-0.06096303778231449
20230614,2992112.418561501,2479712.418561501,512399.99999999994,1,3185244.605811501,-0.06063339276915469
20230615,2994212.418561501,2479712.418561501,514500.0,1,3185244.605811501,-0.05997410274283499
20230616,2991062.418561501,2479712.418561501,511350.00000000006,1,3185244.605811501,-0.06096303778231449
20230619,2992112.418561501,2479712.418561501,512399.99999999994,1,3185244.605811501,-0.06063339276915469
20230620,2988962.418561501,2479712.418561501,509250.0,1,3185244.605811501,-0.06162232780863419
20230621,2991062.418561501,2479712.418561501,511350.00000000006,1,3185244.605811501,-0.06096303778231449
20230626,2939574.277561501,1264474.2775615011,1675100.0,3,3185244.605811501,-0.07712761770376209
20230627,2877674.277561501,1264474.2775615011,1613200.0,3,3185244.605811501,-0.0965609760986128
20230628,2895074.277561501,1264474.2775615011,1630600.0,3,3185244.605811501,-0.09109828730910707
20230629,2887374.277561501,1264474.2775615011,1622900.0,3,3185244.605811501,-0.09351568407227917
20230630,2913724.277561501,1264474.2775615011,1649250.0,3,3185244.605811501,-0.08524316398012544
20230703,2984074.277561501,1264474.2775615011,1719600.0,3,3185244.605811501,-0.06315694809841699
20230704,2941274.277561501,1264474.2775615011,1676800.0,3,3185244.605811501,-0.07659390673007471
20230705,2881985.1980615016,1776335.1980615014,1105650.0,3,3185244.605811501,-0.09520757281770464
20230706,2869635.1980615016,1776335.1980615014,1093300.0,3,3185244.605811501,-0.0990848260677274
20230707,2881038.1304377513,2262281.4304377516,618756.7,3,3185244.605811501,-0.09550490245512788
20230710,2881626.1304377513,2262281.4304377516,619344.7,3,3185244.605811501,-0.09532030124775837
20230711,2888280.3304377515,2262281.4304377516,625998.9,3,3185244.605811501,-0.09323123091769348
20230712,2901979.3228062517,1677379.3228062517,1224600.0,4,3185244.605811501,-0.08893046470855948
20230713,2883833.911556252,1702033.9115562518,1181800.0,3,3185244.605811501,-0.0946271735945563
20230714,2904783.911556252,1702033.9115562518,1202750.0,3,3185244.605811501,-0.08804997071293885
20230717,2945983.911556252,1702033.9115562518,1243950.0,3,3185244.605811501,-0.07511532829181045
20230718,2915883.911556252,1702033.9115562518,1213850.0,3,3185244.605811501,-0.08456515200239212
20230719,2897633.911556252,1702033.9115562518,1195600.0,3,3185244.605811501,-0.09029469627874143
20230720,2919233.911556252,1702033.9115562518,1217200.0,3,3185244.605811501,-0.08351342743659651
20230721,2905433.911556252,1702033.9115562518,1203400.0,3,3185244.605811501,-0.08784590475241139
20230724,2902133.911556252,1702033.9115562518,1200100.0,3,3185244.605811501,-0.08888193193662797
20230725,2923283.911556252,1702033.9115562518,1221250.0,3,3185244.605811501,-0.0822419395286943
20230726,2960083.911556252,1702033.9115562518,1258050.0,3,3185244.605811501,-0.0706886666865213
20230727,2958983.911556252,1702033.9115562518,1256950.0,3,3185244.605811501,-0.07103400908126012
20230728,2888183.911556252,1702033.9115562518,1186150.0,3,3185244.605811501,-0.09326150139717992
20230731,2878433.911556252,1702033.9115562518,1176400.0,3,3185244.605811501,-0.09632249080509259
20230801,2882183.911556252,1702033.9115562518,1180150.0,3,3185244.605811501,-0.09514518718666465
20230802,2842233.911556252,1702033.9115562518,1140200.0,3,3185244.605811501,-0.10768739506831715
20230804,2833158.6801832523,2251843.880183252,581314.8,3,3185244.605811501,-0.11053654246391797
20230807,2837947.6801832523,2251843.880183252,586103.8,3,3185244.605811501,-0.1090330472562776
20230808,2844180.981433252,1694117.431433252,1150063.55,4,3185244.605811501,-0.10707611709191067
20230809,2840929.431433252,1694117.431433252,1146812.0,4,3185244.605811501,-0.10809693351337712
20230810,2839682.816206002,1704082.8162060021,1135600.0,3,3185244.605811501,-0.1084883054114647
20230811,2833773.1042060023,1758273.104206002,1075500.0,2,3185244.605811501,-0.11034364549718922
20230814,2816823.1042060023,1758273.104206002,1058550.0,2,3185244.605811501,-0.1156650578524836
20230815,2813223.1042060023,1758273.104206002,1054950.0,2,3185244.605811501,-0.11679526932617446
20230816,2795373.1042060023,1758273.104206002,1037100.0,2,3185244.605811501,-0.12239923454989154
20230817,2794773.1042060023,1758273.104206002,1036500.0,2,3185244.605811501,-0.12258760312883998
20230818,2800646.375206002,2256146.375206002,544500.0,1,3185244.605811501,-0.12074370360875797
20230821,2805146.375206002,2256146.375206002,549000.0,1,3185244.605811501,-0.1193309392666444
20230822,2801396.375206002,2256146.375206002,545250.0,1,3185244.605811501,-0.12050824288507234
20230823,2811146.375206002,2256146.375206002,555000.0,1,3185244.605811501,-0.11744725347715967
20230824,2809646.375206002,2256146.375206002,553500.0,1,3185244.605811501,-0.11791817492453083
20230825,2811896.375206002,2256146.375206002,555750.0,1,3185244.605811501,-0.11721179275347404
20230828,2825396.375206002,2256146.375206002,569250.0,1,3185244.605811501,-0.11297349972713344
20230829,2822396.375206002,2256146.375206002,566250.0,1,3185244.605811501,-0.11391534262187586
20230830,2824646.375206002,2256146.375206002,568500.0,1,3185244.605811501,-0.11320896045081907
20230831,2831550.201206002,1616800.201206002,1214750.0,3,3185244.605811501,-0.1110415206292732
20230901,2834800.201206002,1616800.201206002,1218000.0,3,3185244.605811501,-0.11002119082663564
20230904,2849900.201206002,1616800.201206002,1233100.0,3,3185244.605811501,-0.10528058158976572
20230905,2854300.201206002,1616800.201206002,1237500.0,3,3185244.605811501,-0.10389921201081032
20230906,2897800.201206002,1616800.201206002,1281000.0,3,3185244.605811501,-0.09024249003704599
