date,cash,market_value,nav,peak_nav,drawdown,holdings,exposure
20230630,821345.1579540002,1044750.0,1866095.1579540002,1995392.189564,-0.06479780380329725,4,0.5598589094167477
20230703,821345.1579540002,1062700.0,1884045.1579540002,1995392.189564,-0.05580207850484242,4,0.564052297533065
20230704,821345.1579540002,1051500.0,1872845.1579540002,1995392.189564,-0.06141501016738804,4,0.5614452404323254
20230705,643488.2489540001,1208750.0,1852238.248954,1995392.189564,-0.07174225766678954,5,0.6525888344453571
20230706,643488.2489540001,1196200.0,1839688.248954,1995392.189564,-0.07803174805651703,5,0.6502188621795725
20230707,533292.9139540001,1317350.0,1850642.913954,1995392.189564,-0.0725417671608849,5,0.7118337038804583
20230710,533292.9139540001,1291550.0,1824842.913954,1995392.189564,-0.08547155616924884,5,0.707759550218774
20230711,533292.9139540001,1303300.0,1836592.913954,1995392.189564,-0.07958298946970321,5,0.7096292216406989
20230712,630208.6239540001,1198650.0,1828858.623954,1995392.189564,-0.0834590645793738,5,0.6554087802634595
20230713,630208.6239540001,1190000.0,1820208.623954,1995392.189564,-0.08779405197946477,5,0.6537712130024902
20230714,630208.6239540001,1228900.0,1859108.623954,1995392.189564,-0.06829913754437333,5,0.6610157062185769
20230717,630208.6239540001,1231750.0,1861958.623954,1995392.189564,-0.06687084689810063,5,0.6615345712593185
20230718,630208.6239540001,1200250.0,1830458.623954,1995392.189564,-0.08265721719901009,5,0.6557099867176035
20230719,630208.6239540001,1146650.0,1776858.623954,1995392.189564,-0.10951910444119273,5,0.6453242731537008
20230720,796017.9329390002,1015420.0,1811437.9329390002,1995392.189564,-0.09218952423843774,5,0.5605601944928433
20230721,796017.9329390002,998228.0,1794245.9329390002,1995392.189564,-0.10080537434044523,5,0.5563495960472311
20230724,796017.9329390002,1005022.0,1801039.9329390002,1995392.189564,-0.0974005299015761,5,0.5580231629622836
20230725,796017.9329390002,1028466.0,1824483.9329390002,1995392.189564,-0.08565146116079758,5,0.5637024154788135
20230726,796017.9329390002,1018671.0,1814688.9329390002,1995392.189564,-0.0905602705924613,5,0.5613474472179647
20230727,796017.9329390002,1052444.0,1848461.9329390002,1995392.189564,-0.07363477585682265,5,0.5693620091632858
20230728,796017.9329390002,1048122.0,1844139.9329390002,1995392.189564,-0.07580076609302999,5,0.5683527487686962
20230731,796017.9329390002,1014388.0,1810405.9329390002,1995392.189564,-0.09270671579877232,5,0.5603096971480035
20230801,796017.9329390002,1016288.0,1812305.9329390002,1995392.189564,-0.09175452203459045,5,0.5607706632355912
20230802,888659.4179390002,907749.0,1796408.4179390003,1995392.189564,-0.09972163500774167,4,0.5053132633621538
20230804,888659.4179390002,927024.0,1815683.4179390003,1995392.189564,-0.0900618798474232,4,0.5105647773400244
20230807,888659.4179390002,910276.0,1798935.4179390003,1995392.189564,-0.09845521730137974,4,0.506008159560771
20230808,888659.4179390002,878245.0,1766904.4179390003,1995392.189564,-0.11450770070164751,4,0.49705291983163746
20230809,888659.4179390002,874866.0,1763525.4179390003,1995392.189564,-0.11620110213805301,4,0.49608924889919637
20230810,888659.4179390002,852873.0,1741532.4179390003,1995392.189564,-0.12722299553576422,4,0.48972559523716724
20230811,1308216.7651840001,422500.0,1730716.7651840001,1995392.189564,-0.13264330980358918,2,0.24411851118520952
20230814,1308216.7651840001,405750.0,1713966.7651840001,1995392.189564,-0.14103764956677123,2,0.23673154476623784
20230815,1308216.7651840001,404000.0,1712216.7651840001,1995392.189564,-0.14191467013904402,2,0.2359514333785798
20230816,1308216.7651840001,396950.0,1705166.7651840001,1995392.189564,-0.1454478101587714,2,0.23279247995263744
20230817,1429248.382684,272400.0,1701648.382684,1995392.189564,-0.14721106377798532,1,0.16008007457471624
20230818,1429248.382684,278400.0,1707648.382684,1995392.189564,-0.14420413610162164,1,0.16303122049190488
20230821,1429248.382684,275400.0,1704648.382684,1995392.189564,-0.14570759993980353,1,0.1615582443849081
20230822,1429248.382684,273600.0,1702848.382684,1995392.189564,-0.14660967824271265,1,0.16067196749998167
20230823,1429248.382684,272400.0,1701648.382684,1995392.189564,-0.14721106377798532,1,0.16008007457471624
20230824,1429248.382684,271200.0,1700448.382684,1995392.189564,-0.1478124493132581,1,0.159487346256248
20230825,1429248.382684,274800.0,1704048.382684,1995392.189564,-0.14600829270743987,1,0.16126302679690938
20230828,1429248.382684,275400.0,1704648.382684,1995392.189564,-0.14570759993980353,1,0.1615582443849081
20230829,1429248.382684,273000.0,1702248.382684,1995392.189564,-0.14691037101034898,1,0.1603761253510786
20230830,1429248.382684,273600.0,1702848.382684,1995392.189564,-0.14660967824271265,1,0.16067196749998167
20230831,1172028.6476840002,533800.0,1705828.6476840002,1995392.189564,-0.14511610469081282,3,0.312927093072765
20230901,1261895.0406840004,430600.0,1692495.0406840004,1995392.189564,-0.15179830334315558,2,0.2544172890609939
20230904,1261895.0406840004,437600.0,1699495.0406840004,1995392.189564,-0.14829022105406464,2,0.25748824769966844
20230905,1259575.8686840003,438800.0,1698375.8686840003,1995392.189564,-0.14885109926429985,2,0.25836448108510135
20230906,1259575.8686840003,429600.0,1689175.8686840003,1995392.189564,-0.15346172170139083,2,0.2543252055422103
20230907,1259575.8686840003,425000.0,1684575.8686840003,1995392.189564,-0.15576703291993643,2,0.2522890229527105
20230908,1405411.4966840004,276600.0,1682011.4966840004,1995392.189564,-0.1570521797764851,1,0.16444596279234877
