strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20230831,3715,56.7,59.4,55.0,FILLED,FILLED,56.7,56.7,True,True,True,
R7,20230831,2436,71.8,73.7,70.2,FILLED,FILLED,71.8,71.8,True,True,True,
R7,20230908,2816,34.300000000000004,35.8,34.05,FILLED,FILLED,34.3,34.300000000000004,True,True,True,
R7,20230908,3548,121.0,125.0,118.0,FILLED,FILLED,121.0,121.0,True,True,True,
R7,20230913,8086,118.0,119.5,117.0,FILLED,FILLED,118.0,118.0,True,True,True,
R7,20230915,5321,106.5,110.0,106.5,FILLED,FILLED,106.5,106.5,True,True,True,
R7,20230915,8068,44.150000000000006,49.3,41.8,FILLED,FILLED,44.15,44.150000000000006,True,True,True,
R7,20230919,6715,157.0,161.0,156.5,FILLED,FILLED,157.0,157.0,True,True,True,
R7,20230921,2417,25.85,26.0,25.7,FILLED,FILLED,25.85,25.85,True,True,True,
R7,20231012,2465,45.95,47.2,46.05,MISSED,MISSED,,,True,True,True,
R7,20231012,3122,44.300000000000004,46.0,44.3,FILLED,FILLED,44.3,44.300000000000004,True,True,True,
R7,20231013,2465,50.1,50.0,49.05,FILLED,FILLED,50.1,50.0,True,False,False,
R7,20231013,6684,69.2,69.9,66.1,FILLED,FILLED,69.2,69.2,True,True,True,
R7,20231017,2363,48.95,49.95,49.65,MISSED,MISSED,,,True,True,True,
R7,20231018,6237,47.050000000000004,49.6,45.95,FILLED,FILLED,47.05,47.050000000000004,True,True,True,
R7,20231026,6593,94.80000000000001,103.0,101.0,MISSED,MISSED,,,True,True,True,
R7,20231026,3041,26.8,26.35,26.3,FILLED,FILLED,26.5,26.35,True,False,False,
R7,20231103,8054,57.6,57.5,55.8,FILLED,FILLED,57.6,57.5,True,False,False,
R7,20231103,6593,124.5,131.0,131.0,MISSED,MISSED,,,True,True,True,
R7,20231110,3228,149.0,150.0,148.0,FILLED,FILLED,149.0,149.0,True,True,True,
R7,20231110,3217,149.5,153.0,150.0,MISSED,MISSED,,,True,True,True,
R7,20231110,6412,138.5,139.5,138.0,FILLED,FILLED,138.5,138.5,True,True,True,
R7,20231206,2605,28.200000000000003,28.0,27.1,FILLED,FILLED,28.15,28.0,True,False,False,
R7,20231214,5426,24.650000000000002,26.85,25.65,MISSED,MISSED,,,True,True,True,
R7,20240105,6113,26.1,28.5,26.75,MISSED,MISSED,,,True,True,True,
R7,20240105,8096,18.6,19.55,18.05,FILLED,FILLED,18.6,18.6,True,True,True,
R7,20240125,6535,122.5,138.0,127.0,MISSED,MISSED,,,True,True,True,
R7,20240126,3354,24.55,25.05,24.0,FILLED,FILLED,24.55,24.55,True,True,True,
R7,20240126,6535,133.0,128.0,122.5,FILLED,FILLED,129.0,128.0,True,False,False,
R7,20240311,2404,381.5,388.5,362.5,FILLED,FILLED,381.5,381.5,True,True,True,
R7,20240311,5386,68.5,69.9,67.5,FILLED,FILLED,68.5,68.5,True,True,True,
R7,20240311,3293,1065.0,1090.0,1010.0,FILLED,FILLED,1065.0,1065.0,True,True,True,
R7,20240327,4127,29.200000000000003,32.7,29.8,MISSED,MISSED,,,True,True,True,
R7,20240327,2359,68.3,70.5,69.2,MISSED,MISSED,,,True,True,True,
R7,20240327,1616,22.25,22.9,21.25,FILLED,FILLED,22.25,22.25,True,True,True,
R7,20240328,4127,32.050000000000004,31.4,29.5,FILLED,FILLED,31.4,31.4,True,True,True,
R7,20240328,2359,71.3,74.0,70.5,FILLED,FILLED,71.3,71.3,True,True,True,
