,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-10-22,946355.7964299999,833530.6308404995,1137803.5808419231,857050.2862426501,1114419.5065000001
2021-10-25,946355.7964299999,831339.0237404995,1127333.5808419231,859810.2862426501,1113609.5065000001
2021-10-26,946355.7964299999,831339.0237404995,1120433.5808419231,873180.2862426501,1122924.5065000001
2021-10-27,946355.7964299999,831339.0237404995,1119023.5808419231,875180.2862426501,1122924.5065000001
2021-10-28,946355.7964299999,831339.0237404995,1122473.5808419231,873843.3064776501,1119684.5065000001
2021-10-29,946355.7964299999,831339.0237404995,1119353.5808419231,896916.8634326502,1108749.5065000001
2021-11-01,946355.7964299999,831339.0237404995,1108343.5808419231,919931.8634326502,1114419.5065000001
2021-11-02,954355.1147799998,831339.0237404995,1103808.686304423,899191.8634326502,1112394.5065000001
2021-11-03,948055.1147799998,831339.0237404995,1113678.686304423,916488.4357426502,1115229.5065000001
2021-11-04,948789.8077299998,831339.0237404995,1107078.686304423,905975.8659626502,1111584.5065000001
2021-11-05,948680.9949899998,831339.0237404995,1092948.686304423,912256.9664651501,1127379.5065000001
2021-11-08,945720.9949899998,829688.2240154995,1095228.686304423,931306.9664651501,1136289.5065000001
2021-11-09,943567.7235049998,827903.8027904995,1093856.610084423,938356.9664651501,1148439.5065000001
2021-11-10,943967.7235049998,827903.8027904995,1097336.610084423,959671.9664651501,1146819.5065000001
2021-11-11,942967.7235049998,827903.8027904995,1096826.610084423,942736.9664651501,1136694.5065000001
2021-11-12,942843.3772049998,827903.8027904995,1102226.610084423,959791.9664651501,1140339.5065000001
2021-11-15,942843.3772049998,828074.6314904995,1119206.610084423,962791.9664651501,1150464.5065000001
2021-11-16,942843.3772049998,826442.0019604994,1119896.610084423,941671.9664651501,1152489.5065000001
2021-11-17,942843.3772049998,826442.0019604994,1126046.610084423,955756.9664651501,1156134.5065000001
2021-11-18,942843.3772049998,826442.0019604994,1123586.610084423,958340.3791851501,1162614.5065000001
2021-11-19,942843.3772049998,826442.0019604994,1118696.610084423,956880.5378251502,1165449.5065000001
2021-11-22,942843.3772049998,826442.0019604994,1123406.610084423,955277.0722001502,1162614.5065000001
2021-11-23,947944.1037049998,826442.0019604994,1114646.610084423,935064.1369551502,1151679.5065000001
2021-11-24,946894.1037049998,826442.0019604994,1130666.610084423,933624.8919951501,1146819.5065000001
2021-11-25,940686.1352549999,826442.0019604994,1137956.610084423,929800.4669951502,1146414.5065000001
2021-11-26,934666.1861549998,826442.0019604994,1127486.610084423,925763.4316276503,1127784.5065000001
2021-11-29,934666.1861549998,829220.3671904993,1121216.610084423,912059.6560101503,1127784.5065000001
2021-11-30,934666.1861549998,831042.6103504993,1141766.610084423,911428.9813301503,1126569.5065000001
2021-12-01,934666.1861549998,833927.6103504993,1138286.610084423,910953.0813101502,1145199.5065000001
2021-12-02,934666.1861549998,834040.5830404992,1123646.610084423,901608.8378801502,1157349.5065000001
2021-12-03,934666.1861549998,833274.5258204993,1123496.610084423,898699.1556201502,1156944.5065000001
2021-12-06,934666.1861549998,832337.4164254993,1112666.610084423,899074.1556201502,1153704.5065000001
2021-12-07,934666.1861549998,828860.0287904992,1110566.610084423,903574.1556201502,1157349.5065000001
2021-12-08,934666.1861549998,827205.0287904992,1112666.610084423,902449.1556201502,1161804.5065000001
2021-12-09,934666.1861549998,827120.0287904992,1099946.610084423,904699.1556201502,1158969.5065000001
2021-12-10,934666.1861549998,824065.0287904992,1100996.610084423,905074.1556201502,1158564.5065000001
2021-12-13,934666.1861549998,821562.8551354992,1097156.610084423,908449.1556201502,1154919.5065000001
2021-12-14,934666.1861549998,821562.8551354992,1089125.2080994232,903199.1556201502,1143579.5065000001
2021-12-15,934666.1861549998,821562.8551354992,1081191.464554423,903574.1556201502,1145199.5065000001
2021-12-16,934666.1861549998,821562.8551354992,1081061.464554423,903574.1556201502,1159374.5065000001
2021-12-17,934666.1861549998,821562.8551354992,1047339.4479512982,896257.3082076502,1158159.5065000001
2021-12-20,934666.1861549998,821562.8551354992,1047484.4479512982,893339.3692076502,1148034.5065000001
2021-12-21,940339.9681074998,821562.8551354992,1047741.1862062982,902119.8906901502,1157754.5065000001
2021-12-22,937544.9681074998,821562.8551354992,1054191.1862062982,900929.8906901502,1157754.5065000001
2021-12-23,934629.1082224997,821562.8551354992,1048341.1862062982,896190.2447051501,1164234.5065000001
2021-12-24,934629.1082224997,821562.8551354992,1042341.1862062982,894025.7182051501,1167474.5065000001
