,v3_original_large_layer,v3_original_combined_three_layer,pullback_stable_base_large_layer,pullback_stable_base_combined_three_layer,0050_BH
2025-08-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1708149.5065000001
2025-08-11,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1721109.5065000001
2025-08-12,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1722729.5065000001
2025-08-13,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1737309.5065000001
2025-08-14,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1730829.5065000001
2025-08-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1730829.5065000001
2025-08-18,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1735689.5065000001
2025-08-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1732449.5065000001
2025-08-20,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1683849.5065000001
2025-08-21,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1693569.5065000001
2025-08-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1685469.5065000001
2025-08-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1716249.5065000001
2025-08-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1717869.5065000001
2025-08-27,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1725969.5065000001
2025-08-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1709769.5065000001
2025-08-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1709769.5065000001
2025-09-01,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1693569.5065000001
2025-09-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1693569.5065000001
2025-09-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1691949.5065000001
2025-09-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1703289.5065000001
2025-09-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1721109.5065000001
2025-09-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1737309.5065000001
2025-09-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1755129.5065000001
2025-09-10,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1789149.5065000001
2025-09-11,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1805349.5065000001
2025-09-12,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1823169.5065000001
2025-09-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1823169.5065000001
2025-09-16,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1847469.5065000001
2025-09-17,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1834509.5065000001
2025-09-18,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1853949.5065000001
