,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-10-04,896066.921875,774616.8485749995,994672.3392500001,736394.1202500002,1087284.5065000001
2021-10-05,896066.921875,774616.8485749995,986451.0987500001,733230.3045000001,1085664.5065000001
2021-10-06,896066.921875,774003.1695749995,979781.0987500001,730700.3045000001,1086069.5065000001
2021-10-07,896066.921875,773635.0826999994,983261.0987500001,732020.3045000001,1105104.5065000001
2021-10-08,898714.361875,772495.7104499995,981521.0987500001,730985.0587500001,1095789.5065000001
2021-10-12,898714.361875,769303.8026999995,980941.0987500001,727842.4875,1084854.5065000001
2021-10-13,904314.361875,769090.2501999995,980941.0987500001,729242.4875,1081209.5065000001
2021-10-14,905514.361875,769022.3659499995,979491.0987500001,728992.4875,1084044.5065000001
2021-10-15,904714.361875,769022.3659499995,982681.0987500001,730002.4875,1112394.5065000001
2021-10-18,895052.3083749999,769022.3659499995,982681.0987500001,729161.9825,1109154.5065000001
2021-10-19,893672.3083749999,769022.3659499995,981521.0987500001,728721.9825,1118064.5065000001
2021-10-20,900903.8734999999,769022.3659499995,982391.0987500001,729051.9825,1115229.5065000001
2021-10-21,897453.8734999999,769022.3659499995,982681.0987500001,729161.9825,1111179.5065000001
2021-10-22,909402.1413749999,769022.3659499995,980651.0987500001,728391.9825,1114419.5065000001
2021-10-25,898012.1413749999,769022.3659499995,983261.0987500001,729381.9825,1113609.5065000001
2021-10-26,890946.3883749999,769022.3659499995,986451.0987500001,730591.9825,1122924.5065000001
2021-10-27,890946.3883749999,769022.3659499995,987321.0987500001,730921.9825,1122924.5065000001
2021-10-28,890946.3883749999,769022.3659499995,977941.3470000002,730481.9825,1119684.5065000001
2021-10-29,890946.3883749999,769336.6676999995,982661.3470000002,731096.3507500001,1108749.5065000001
2021-11-01,890946.3883749999,769336.6676999995,993791.3470000002,732636.3507500001,1114419.5065000001
2021-11-02,890946.3883749999,769441.6676999995,992731.3470000002,730884.6507500001,1112394.5065000001
2021-11-03,890946.3883749999,768706.6676999995,1006960.1552500002,732329.6507500001,1115229.5065000001
2021-11-04,890946.3883749999,767257.8041999995,1006960.1552500002,730728.7742500001,1111584.5065000001
2021-11-05,890946.3883749999,767257.8041999995,1009350.1552500002,729458.7742500001,1127379.5065000001
2021-11-08,890946.3883749999,767257.8041999995,1014330.1552500002,729998.7742500001,1136289.5065000001
2021-11-09,905471.9859999998,767257.8041999995,1003110.1552500002,731148.7742500001,1148439.5065000001
2021-11-10,920124.4737499998,767257.8041999995,1009450.1552500002,730488.7742500001,1146819.5065000001
2021-11-11,930913.8806249998,767257.8041999995,1004240.1552500002,733088.7742500001,1136694.5065000001
2021-11-12,912920.9031249998,767257.8041999995,997700.1552500002,736368.7742500001,1140339.5065000001
2021-11-15,902896.0467499999,767257.8041999995,1010910.1552500002,736358.7742500001,1150464.5065000001
2021-11-16,916188.2099999998,767257.8041999995,1008720.1552500002,734508.7742500001,1152489.5065000001
2021-11-17,917192.4002499998,767257.8041999995,1012670.1552500002,737058.7742500001,1156134.5065000001
2021-11-18,910745.7202499998,767830.9021999995,1019280.1552500002,736698.7742500001,1162614.5065000001
2021-11-19,911292.1139999998,764083.8629499995,1011695.7340000002,736533.8892500001,1165449.5065000001
