,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2022-06-28,875597.6245906249,694091.5069661249,1201738.2296670831,719982.8096428891,979149.5065
2022-06-29,875597.6245906249,693482.5069661249,1204108.2296670831,720911.8096428891,971049.5065
2022-06-30,865038.4037906249,692099.6904711248,1200158.2296670831,718395.6691778891,946749.5065
2022-07-01,859234.838990625,690046.5882726248,1188703.2296670831,713205.961408889,912324.5065
2022-07-04,859234.838990625,688982.3085676248,1182079.059127083,712064.334233889,903414.5065
2022-07-05,859234.838990625,688899.8394151247,1182079.059127083,712659.354798889,907869.5065
2022-07-06,859234.838990625,688712.0576551247,1182079.059127083,712181.470688889,890454.5065
2022-07-07,859234.838990625,688737.0576551247,1182079.059127083,712511.470688889,916779.5065
2022-07-08,859234.838990625,688694.9089901247,1182079.059127083,711424.322023889,926094.5065
2022-07-11,859234.838990625,689028.0753026247,1182079.059127083,711827.4883363891,917994.5065
2022-07-12,859234.838990625,687509.1773551247,1182079.059127083,710796.9792888891,896124.5065
2022-07-13,859234.838990625,688814.1773551247,1182079.059127083,711666.9792888891,927714.5065
2022-07-14,859234.838990625,689366.3278301248,1182079.059127083,711679.5689288891,932169.5065
2022-07-15,859234.838990625,689446.3278301248,1182079.059127083,711079.5689288891,944319.5065
2022-07-18,859234.838990625,688430.3235001249,1182079.059127083,710245.9012888891,933789.5065
2022-07-19,859234.838990625,688867.5054501249,1182079.059127083,710968.0832388891,934599.5065
2022-07-20,859234.838990625,688403.9717576249,1182079.059127083,710119.7809138892,940674.5065
2022-07-21,859234.838990625,687217.3075626249,1182079.059127083,710070.2291188892,951204.5065
2022-07-22,859234.838990625,687092.3075626249,1182079.059127083,711035.2291188892,954849.5065
2022-07-25,859234.838990625,686426.1288701248,1202329.275194583,712765.5511263892,954039.5065
2022-07-26,859234.838990625,686331.1288701248,1203679.275194583,712050.5511263892,945534.5065
2022-07-27,859234.838990625,686278.1198251247,1202869.275194583,711745.9367038892,954039.5065
2022-07-28,859234.838990625,685839.8963176247,1197469.275194583,710870.3699113892,955659.5065
2022-07-29,859234.838990625,685579.8963176247,1202869.275194583,710940.3699113892,964569.5065
2022-08-01,859234.838990625,684780.2209626248,1207729.275194583,710544.2157613892,961734.5065
2022-08-02,859234.838990625,684084.1052498748,1209349.275194583,709925.0272003893,944724.5065
2022-08-03,859234.838990625,683547.1052498748,1202869.275194583,709417.0272003893,950394.5065
2022-08-04,859234.838990625,683501.3487348747,1194769.275194583,708331.6489428893,952824.5065
2022-08-05,859234.838990625,683043.0309348748,1202869.275194583,709100.5504178893,976719.5065
2022-08-08,859234.838990625,683384.8381483748,1208269.275194583,709950.4599218892,974694.5065
2022-08-09,859234.838990625,683644.8381483748,1212859.275194583,710867.7833093893,973884.5065
2022-08-10,856822.363815625,684036.5242708748,1223929.275194583,712125.5577468893,963759.5065
2022-08-11,856592.363815625,684866.5242708748,1224739.275194583,712515.5577468893,981174.5065
2022-08-12,851757.7574906249,684533.8783483747,1222346.354689583,712080.0570593893,987249.5065
2022-08-15,851757.7574906249,684973.8783483747,1229201.354689583,712790.0570593893,996159.5065
2022-08-16,851757.7574906249,684683.8783483747,1213601.354689583,712805.0570593893,997779.5065
2022-08-17,851757.7574906249,684753.8783483747,1216941.354689583,713490.0570593893,998184.5065
2022-08-18,851757.7574906249,684978.6325333747,1212686.354689583,715372.4341518893,991704.5065
2022-08-19,851757.7574906249,685218.6325333747,1217736.354689583,716062.4341518893,993324.5065
2022-08-22,851757.7574906249,685018.6325333747,1208066.354689583,714012.4341518893,979149.5065
2022-08-23,851757.7574906249,684978.6325333747,1199451.354689583,713292.4341518893,966189.5065
2022-08-24,851757.7574906249,685038.6325333747,1195871.201394583,712897.6079818893,963759.5065
2022-08-25,851757.7574906249,685218.6325333747,1195581.201394583,713387.6079818893,972669.5065
2022-08-26,851757.7574906249,685918.6325333747,1197901.201394583,714107.6079818893,977529.5065
2022-08-29,851757.7574906249,684335.9197696247,1197865.5049070832,712620.3354256393,952824.5065
2022-08-30,851757.7574906249,685465.9197696247,1199005.5049070832,714840.3354256393,954444.5065
2022-08-31,851757.7574906249,684146.2385346248,1204285.5049070832,714229.6195256393,961329.5065
2022-09-01,851757.7574906249,683189.7198846248,1202645.5049070832,712379.6195256393,941484.5065
2022-09-02,851757.7574906249,682526.7706096248,1199420.5049070832,712699.6195256393,931359.5065
2022-09-05,851757.7574906249,679467.4846096247,1188085.5049070832,710956.0322156394,933384.5065
2022-09-06,851757.7574906249,677794.8652696247,1188670.5049070832,709782.3524556394,939459.5065
2022-09-07,851757.7574906249,674683.0638971247,1187999.8727370831,707644.4434656394,917589.5065
2022-09-08,851757.7574906249,674793.0638971247,1198799.8727370831,708304.4434656394,924069.5065
2022-09-12,851757.7574906249,674776.3904546248,1200899.8727370831,708688.3803956393,943509.5065
2022-09-13,851757.7574906249,674473.8877596247,1202999.8727370831,708008.3794156393,948369.5065
2022-09-14,851757.7574906249,674621.7130371247,1207799.8727370831,707826.2046931393,929334.5065
2022-09-15,852066.054815625,674546.7130371247,1204399.8727370831,707361.2046931393,930954.5065
2022-09-16,850116.054815625,674291.7130371247,1204799.8727370831,707696.2046931393,920424.5065
2022-09-19,849921.903890625,674106.1735971246,1203599.8727370831,707158.8923006393,916374.5065
2022-09-20,849921.903890625,673932.6869146246,1217199.8727370831,709600.4056181393,924474.5065
2022-09-21,849921.903890625,673640.7820146247,1211199.8727370831,708676.2626781393,916779.5065
2022-09-22,849921.903890625,672886.0449646247,1224799.8727370831,710606.2626781393,905844.5065
2022-09-23,849921.903890625,672351.2519496247,1223299.8727370831,710690.4692956392,897339.5065
2022-09-26,849921.903890625,670290.2033996248,1215699.8727370831,708928.7388056392,880734.5065
2022-09-27,849921.903890625,667509.5069346247,1222799.8727370831,706048.5991206393,879519.5065
2022-09-28,849921.903890625,663782.7231246248,1210699.8727370831,702623.1979181393,861294.5065
2022-09-29,849921.903890625,662463.5056046249,1224199.8727370831,704045.3228256393,858459.5065
2022-09-30,849921.903890625,662883.2233508751,1220799.8727370831,703564.8509831394,846714.5065
2022-10-03,849921.903890625,662753.2233508751,1212499.8727370831,702379.8509831394,836589.5065
2022-10-04,849921.903890625,662898.8378808751,1220099.8727370831,703482.7253331394,857649.5065
2022-10-05,849921.903890625,662658.8378808751,1217699.8727370831,702917.7253331394,877494.5065
2022-10-06,849921.903890625,662468.8378808751,1219299.8727370831,703757.7253331394,883569.5065
2022-10-07,849921.903890625,661982.2065483752,1212899.8727370831,703444.4029331394,868989.5065
2022-10-11,849921.903890625,661376.8816563751,1205699.8727370831,702984.8471786394,824439.5065
2022-10-12,849921.903890625,662652.8816563751,1205199.8727370831,703593.8471786394,820389.5065
2022-10-13,849921.903890625,660167.4557963752,1191099.8727370831,701090.5451951395,810669.5065
2022-10-14,849921.903890625,660837.4557963752,1204299.8727370831,702920.5451951395,833754.5065
2022-10-17,849921.903890625,660286.3918513751,1190899.8727370831,701402.3805751394,818364.5065
2022-10-18,849921.903890625,660546.3918513751,1185599.8727370831,700932.3805751394,827679.5065
2022-10-19,849921.903890625,660727.1821863751,1174499.8727370831,699843.1709101395,816744.5065
2022-10-20,849921.903890625,660569.0276863752,1172999.8727370831,700454.0936601395,812289.5065
2022-10-21,849921.903890625,660171.0907588751,1175799.8727370831,699526.1567326394,809859.5065
2022-10-24,849921.903890625,660536.0907588751,1173899.8727370831,699081.1567326394,807429.5065
2022-10-25,849921.903890625,660886.0907588751,1172099.8727370831,698011.1567326394,792039.5065
2022-10-26,849921.903890625,661716.0907588751,1169699.8727370831,697231.1567326394,799329.5065
2022-10-27,849921.903890625,660852.300233875,1176299.8727370831,697057.3662076393,810669.5065
2022-10-28,849921.903890625,660582.300233875,1166799.8727370831,696397.3662076393,800544.5065
2022-10-31,849921.903890625,660666.412463875,1174899.8727370831,697609.4223226394,811074.5065
2022-11-01,849921.903890625,661090.747003875,1179299.8727370831,697513.7568626393,815529.5065
